city_name,psgc,year,annual_mean_nightlight,annual_max_nightlight,annual_std_nightlight
City of Cotabato,1908703000,2022,1.4378818737270875,14.0,2.976778900335741
City of Cotabato,1908703000,2023,1.8472505091649694,20.0,3.7404443869939095
City of Cotabato,1908703000,2024,2.0733197556008145,25.0,4.400833213276335
City of Dagupan,105518000,2022,4.054945054945055,22.0,3.4768600967700984
City of Dagupan,105518000,2023,4.058608058608058,22.0,3.343060315781541
City of Dagupan,105518000,2024,4.465201465201465,23.0,3.7101580260764355
City of Dapitan,907201000,2022,0.11931818181818182,7.0,0.5476189807804145
City of Dapitan,907201000,2023,0.16558441558441558,9.0,0.7083802513737567
City of Dapitan,907201000,2024,0.1599025974025974,7.0,0.6430820600570968
City of Dasmariñas,402106000,2022,8.656441717791411,39.0,4.9690827783048785
City of Dasmariñas,402106000,2023,9.284253578732107,33.0,4.928007008184155
City of Dasmariñas,402106000,2024,10.325153374233128,40.0,5.59237368041374
City of Davao,1130700000,2022,1.2400457062494505,46.0,3.8661511192817315
City of Davao,1130700000,2023,1.5861826492045354,51.0,4.787840836381635
City of Davao,1130700000,2024,1.7029972752043596,74.0,4.9502884105764435
City of Digos,1102403000,2022,0.8207200587803086,17.0,2.1739651983352135
City of Digos,1102403000,2023,0.9529757531227039,21.0,2.469057661761864
City of Digos,1102403000,2024,0.991182953710507,22.0,2.5894566926006255
City of Dipolog,907202000,2022,0.478134110787172,8.0,0.9950108864882032
City of Dipolog,907202000,2023,0.7244897959183674,11.0,1.4300648170943902
City of Dipolog,907202000,2024,0.7725947521865889,11.0,1.4631154015797274
City of Dumaguete,704610000,2022,5.149484536082475,30.0,4.029955455263786
City of Dumaguete,704610000,2023,5.829896907216495,29.0,4.533601125444276
City of Dumaguete,704610000,2024,6.623711340206185,35.0,5.1959197551773775
City of El Salvador,1004307000,2022,0.6096033402922756,7.0,1.1862079936704673
City of El Salvador,1004307000,2023,0.81419624217119,11.0,1.6337154048730431
City of El Salvador,1004307000,2024,0.9624217118997912,12.0,1.8578522578876386
City of Escalante,604509000,2022,0.29923518164435947,8.0,0.7073361738622097
City of Escalante,604509000,2023,0.3049713193116635,8.0,0.6980676340724871
City of Escalante,604509000,2024,0.35850860420650094,8.0,0.7437176481532044
City of Gapan,304908000,2022,0.723175965665236,11.0,1.2423929039697417
City of Gapan,304908000,2023,0.8412017167381974,15.0,1.5133518259181926
City of Gapan,304908000,2024,1.0590128755364807,19.0,1.8065671486261352
City of General Santos,1230800000,2022,2.875951293759513,34.0,5.073791858272034
City of General Santos,1230800000,2023,3.213470319634703,40.0,5.645988431564716
City of General Santos,1230800000,2024,3.145357686453577,35.0,5.43791838656206
City of General Trias,402108000,2022,8.508946322067594,39.0,6.228216071277415
City of General Trias,402108000,2023,9.389662027833001,33.0,6.344582736828537
City of General Trias,402108000,2024,11.178926441351889,69.0,8.98307405754935
City of Gingoog,1004308000,2022,0.10314987885081343,11.0,0.5768288405454707
City of Gingoog,1004308000,2023,0.12495673243336795,11.0,0.6363541173616519
City of Gingoog,1004308000,2024,0.1768778123918311,20.0,1.0238781968996395
City of Guihulngan,704611000,2022,0.03530031612223393,5.0,0.2741351750776671
City of Guihulngan,704611000,2023,0.11749209694415173,9.0,0.5416281422323712
City of Guihulngan,704611000,2024,0.12434141201264488,11.0,0.5827948661755501
City of Himamaylan,604510000,2022,0.308562197092084,13.0,0.856472666629838
City of Himamaylan,604510000,2023,0.5514270328486807,19.0,1.3035180264247588
City of Himamaylan,604510000,2024,0.6429725363489499,17.0,1.3966439487768565
City of Ilagan,203114000,2022,0.22628179249091643,19.0,0.8664725903465719
City of Ilagan,203114000,2023,0.27836092046830846,22.0,0.9907872243397454
City of Ilagan,203114000,2024,0.3090431974162293,21.0,1.051543539782777
City of Iligan,1030900000,2022,0.5481861487724441,18.0,1.6977463907825945
City of Iligan,1030900000,2023,0.7511909124221327,25.0,2.2446596882354433
City of Iligan,1030900000,2024,0.8398680835470869,24.0,2.4100545428303892
City of Iloilo,631000000,2022,8.200488997555013,39.0,6.516024989821007
City of Iloilo,631000000,2023,9.82640586797066,49.0,8.127148926524109
City of Iloilo,631000000,2024,11.34718826405868,54.0,9.263158784995973
City of Imus,402109000,2022,12.228956228956228,26.0,4.297219748132583
City of Imus,402109000,2023,14.32996632996633,38.0,5.3250134916012195
City of Imus,402109000,2024,17.636363636363637,54.0,7.275420376790223
City of Iriga,501716000,2022,0.587467362924282,9.0,0.9665689140692473
City of Iriga,501716000,2023,0.6906005221932114,11.0,1.0813348315684528
City of Iriga,501716000,2024,0.762402088772846,13.0,1.2394500908143327
City of Isabela,990101000,2022,0.09021922428330523,3.0,0.39103199711407316
City of Isabela,990101000,2023,0.1163575042158516,5.0,0.4978390608802425
City of Isabela,990101000,2024,0.1205733558178752,5.0,0.4942826663267343
City of Kabankalan,604515000,2022,0.2704497434349532,27.0,1.3928883481681174
City of Kabankalan,604515000,2023,0.3649260488982795,31.0,1.679208666818863
City of Kabankalan,604515000,2024,0.40597645638394203,33.0,1.7811910660264956
City of Kidapawan,1204704000,2022,0.5419181757209927,16.0,1.336715223302083
City of Kidapawan,1204704000,2023,0.6733735747820255,21.0,1.6839346093471803
City of Kidapawan,1204704000,2024,0.7806841046277666,22.0,1.770024592244911
City of Koronadal,1206306000,2022,0.5397163120567375,13.0,1.3411850075532792
City of Koronadal,1206306000,2023,0.7205673758865249,19.0,1.7089467425478024
City of Koronadal,1206306000,2024,0.7347517730496453,16.0,1.6099859395713438
City of La Carlota,604516000,2022,0.7919655667144907,16.0,2.0666217372417655
City of La Carlota,604516000,2023,0.890961262553802,19.0,2.060669841351613
City of La Carlota,604516000,2024,1.0086083213773314,22.0,2.4176385403966196
City of Lamitan,1900702000,2022,0.04972804972804973,3.0,0.279884265149589
City of Lamitan,1900702000,2023,0.052059052059052056,3.0,0.27242050587609923
City of Lamitan,1900702000,2024,0.050505050505050504,3.0,0.2640271049240107
City of Laoag,102812000,2022,1.673170731707317,19.0,2.186175082461578
City of Laoag,102812000,2023,1.9626016260162602,18.0,2.238662433620726
City of Laoag,102812000,2024,2.354471544715447,21.0,2.745202823449157
City of Lapu-Lapu,731100000,2022,6.8355263157894735,50.0,7.135078970549251
City of Lapu-Lapu,731100000,2023,10.789473684210526,69.0,10.73482093119145
City of Lapu-Lapu,731100000,2024,12.057017543859649,79.0,11.931320049453841
City of Las Piñas,1380200000,2022,16.67464114832536,33.0,5.340947534380522
