city_name,psgc,year,poi_count,large_water_m,small_water_m,building_area_m2,gray_zones_area_m2,green_zones_area_m2,poi_per_km2,large_water_m_per_km2,small_water_m_per_km2,building_coverage_ratio,gray_zones_coverage_ratio,green_zones_coverage_ratio
City of Butuan,1630400000,2025,57.0,437230.4295118921,150198.4329998,6858117.4289013175,12173968.03897813,3353194.122321499,0.08769807677034186,672.7064521695343,231.08971417546502,0.01055164401368083,0.01873041374880688,0.005159099571319472
City of Cabadbaran,1600203000,2022,10.0,144207.2375943269,48686.171986261295,171243.29182796975,689539.474831423,13484.870034966132,0.029793702108398167,429.6467478760373,145.05413049569088,0.0005101971624784025,0.0020543933705108736,4.0176420079224576e-05
City of Cabadbaran,1600203000,2023,10.0,144207.23759432687,48690.56924331698,175328.04333456772,689539.474831423,14226.146644272643,0.029793702108398167,429.6467478760372,145.06723155237202,0.0005223671494358436,0.0020543933705108736,4.238495752698474e-05
City of Cabadbaran,1600203000,2024,10.0,144206.17783030836,48690.56924331699,308489.2235957461,723092.501495596,14226.146644272643,0.029793702108398167,429.6435904466899,145.06723155237202,0.0009191036031462695,0.0021543602586376245,4.238495752698474e-05
City of Cabadbaran,1600203000,2025,12.0,142344.49684331263,51054.23401321306,310131.7021479283,730466.1712629187,46561226.33705878,0.0357524425300778,424.096953571948,152.10946395621195,0.0009239971548165844,0.002176329150686956,0.13872313072880327
City of Cabanatuan,304903000,2022,54.0,99281.64228165564,153452.42429127262,856234.192520221,4474369.720962824,548940.9789514402,0.2852657731403156,524.4750822984582,810.6430454760302,0.004523227942934346,0.02363675069937182,0.0028998902364626724
City of Cabanatuan,304903000,2023,56.0,100391.20296663768,147633.78360756693,887675.3886789754,4811682.040583084,551401.2511897117,0.29583117214551247,530.3365579771156,779.9049152304192,0.004689322334243298,0.025418670322450092,0.002912887115392046
City of Cabanatuan,304903000,2024,55.0,98720.93106980895,147920.67993407208,908126.0541927884,4909980.518213327,973204.298085793,0.29054847264291406,521.5130134585344,781.4205023117452,0.004797357054780925,0.02593795164133356,0.00514114586142448
City of Cabanatuan,304903000,2025,58.0,104380.61034071284,136403.83435934156,1024180.8748637104,5280084.87351426,979057.6205563644,0.30639657115070934,551.411398327805,720.5804679226133,0.005410439798213355,0.027893101734991314,0.005172067205128316
City of Cabuyao,403404000,2022,29.0,58336.01129847856,21473.17226816312,2136958.56936758,14041474.75490103,5447725.154567287,0.6120726073533431,1231.2370530363398,453.21174270076216,0.04510254494340982,0.29635869187304886,0.11497942550001357
City of Cabuyao,403404000,2023,31.0,58337.25519033119,21471.721385772074,2137796.081441734,14094901.591258286,5422442.2776675215,0.6542845113087461,1231.263306558047,453.1811204466914,0.04512022143302765,0.2974863161155256,0.11444580631430896
City of Cabuyao,403404000,2024,30.0,58336.37849257313,23997.51143777717,2342799.44789328,14595537.552073592,5391092.128145689,0.6331785593310446,1231.2448030172663,506.4903239900671,0.049447012640621124,0.30805271466280393,0.11378413156400742
City of Cabuyao,403404000,2025,28.0,58323.944022126765,25190.39121969609,2363423.856374819,14751497.28063535,5639318.597556677,0.5909666553756416,1230.982361681157,531.6671873824188,0.049882310415600976,0.31134439320428375,0.1190231875069901
City of Cadiz,604504000,2022,7.0,247651.70889916105,108245.701975439,607254.5950347788,5700366.937441924,156464591.99344322,0.013303927509320898,470.6771975362685,205.7275674681135,0.0011541244445778165,0.01083389550175099,0.2973705128080342
City of Cadiz,604504000,2023,6.0,284463.0273870293,193074.4122628647,608425.2821931083,5759993.375467004,156464591.99344322,0.01140336643656077,540.6393564912862,366.9497120928414,0.0011563494070193179,0.010947219188768802,0.2973705128080342
City of Cadiz,604504000,2024,6.0,293754.1510219943,194035.16915299525,622841.7233300383,5855271.731670045,156464591.99344322,0.01140336643656077,558.2977043941022,368.77568923860963,0.0011837487338519045,0.011128301523644876,0.2973705128080342
City of Cadiz,604504000,2025,5.0,303951.59026512643,194035.16915299525,685425.825812185,5848682.459670046,156464591.9934432,0.009502805363800642,577.6785604614356,368.77568923860963,0.001302693642803103,0.01111577820978385,0.29737051280803417
City of Cagayan De Oro,1030500000,2022,129.0,400058.0470024797,99424.25849184142,11710345.532368876,13693527.616986822,78221248.43602057,0.2546311903934715,789.6686568583626,196.2520720446961,0.023114877696325253,0.027029451455807995,0.15439976436687897
City of Cagayan De Oro,1030500000,2023,127.0,400172.92142153287,99106.39976908643,13459213.253828708,13990831.413521582,78200225.84294629,0.2506834199997743,789.8954057736282,195.62465541716082,0.026566941802961184,0.02761629501875485,0.15435826818161028
City of Cagayan De Oro,1030500000,2024,134.0,410986.18554633786,88796.51895166299,16694194.530117424,14880183.569709238,78198118.663828,0.26450061637771455,811.239547759195,175.27413429037517,0.03295242345630992,0.029371774074639062,0.1543541088519416
City of Cagayan De Oro,1030500000,2025,135.0,407990.44930389296,99194.47014015012,16651086.97208142,15453410.076876786,77538941.67520763,0.2664745015745632,805.3263083365702,195.7984962188844,0.03286733408563036,0.030503257391578324,0.1530529691520006
City of Calaca,401007000,2022,2.0,42859.32846478795,78610.63511788847,1766483.6987926415,1693822.3648251523,5225019.293493197,0.017402533545633828,372.9304506759055,684.0121073413172,0.015370645913027132,0.014738400262107265,0.04546428676579966
City of Calaca,401007000,2023,3.0,44833.66497904783,171368.41293994486,1779807.0842169232,1693822.3648251523,5225019.293493197,0.026103800318450738,390.1096793857942,1491.12227742471,0.015486576243920866,0.014738400262107265,0.04546428676579966
